Год,Месяц,Скорость груженым,"Тонн ГМ на единицу оборудования в год, т",Средний грузооборот на единицу АС,"Средняя загрузка АС, т",Модель оборудования,Имя оборудования,Id Equip
2024,Август 2024,15.76,2995943.55,836388.04,185.4591836734694,KOMATSU 730-E,730E_16,504
2024,Август 2024,15.47,2998828.23,843431.52,186.45314787701318,KOMATSU 730-E,730E_17,505
2024,Август 2024,15.38,3180668.87,851104.95,187.33633841886268,KOMATSU 730-E,730E_18,506
2024,Август 2024,15.71,3196564.03,830963.13,184.3102511880516,KOMATSU 730-E,730E_19,507
2024,Август 2024,14.55,2881392.42,806872.41,183.1744011976048,KOMATSU 730-E,730E_20,508
2024,Август 2024,15.99,3538969.35,845664.84,185.99628712871288,KOMATSU 730-E,730E_21,509
2024,Август 2024,15.86,3099768.39,828723.61,185.13924050632912,KOMATSU 730-E,730E_22,510
2024,Август 2024,14.99,2975915.65,825289.23,183.95123726346435,KOMATSU 730-E,730E_23,511
2024,Август 2024,14.99,2524928.71,854499.12,186.63707571801567,KOMATSU 730-E,730E_24,512
2024,Август 2024,15.22,3095859.35,829730.55,185.68926553672316,KOMATSU 730-E,730E_25,513
2024,Август 2024,15.1,3194727.26,821218.49,184.45479265805574,KOMATSU 730-E,730E_26,514
2024,Август 2024,14.77,2854017.42,834723.08,184.7530487804878,KOMATSU 730-E,730E_27,515
2024,Август 2024,15.22,3213106.77,830329.38,186.02181322426722,KOMATSU 730-E,730E_28,516
2024,Август 2024,14.96,2801233.71,853360.09,184.2858249419055,KOMATSU 730-E,730E_29,517
2024,Август 2024,15.56,2961021.29,810748.76,177.72720848056537,KOMATSU 730-E,730E_37,864
2024,Август 2024,15.93,3535284.03,876203.23,191.6126356094448,KOMATSU 730-E,730E_38,865
2024,Август 2024,16.25,3106620.97,837433.77,183.22916666666666,KOMATSU 730-E,730E_39,866
2024,Август 2024,14.75,2942123.71,829447.1,186.7556053811659,KOMATSU 730-E,730E_40,867
2024,Август 2024,15.46,3083202.1,860265.47,185.45396600566573,KOMATSU 730-E,730E_41,868
2024,Август 2024,14.96,2704440.42,806594.77,179.4367762128326,NHL NTE200,NHL NTE200_43,1415
2024,Август 2024,14.48,2610802.61,780316.19,177.2497202238209,NHL NTE200,NHL NTE200_44,1416
2024,Август 2024,14.71,2633111.18,783367.12,179.77017684887437,NHL NTE200,NHL NTE200_45,1417
